startX,startY,endX,endY,speed,type
40,48,0,0,1,following
21,4,30,4,1,patrolling
30,9,21,9,1,patrolling
46,6,0,0,1,following
67,10,0,0,1,following
75,7,0,0,2,following
93,27,0,0,2,following
93,28,0,0,2,following
93,33,80,33,2,patrolling
94,34,80,34,2,patrolling
4,17,0,0,1,following
65,89,65,92,4,patrolling
67,92,67,89,4,patrolling
69,89,69,92,4,patrolling
71,92,71,89,4,patrolling
73,89,73,92,4,patrolling
75,92,75,89,4,patrolling
77,89,77,92,4,patrolling
79,92,79,89,4,patrolling
81,89,81,92,4,patrolling
83,92,83,89,4,patrolling
85,89,85,92,4,patrolling
45,20,55,20,3,patrolling
60,18,70,18,2,patrolling
35,30,50,30,3,patrolling
55,28,55,38,2,patrolling
45,42,60,42,2,patrolling
72,40,72,50,2,patrolling
83,84,0,0,5,following
